naics3,CN_imp_notUS1990,CN_imp_notUS1997,CN_imp_notUS1998,CN_imp_notUS2000,CN_imp_notUS2013,CN_imp_notUS2014
111,5.841e+08,9.544e+08,7.584e+08,1.299e+09,2.172e+09,1.499e+09
112,1.848e+08,3.620e+08,2.011e+08,3.284e+08,2.393e+08,2.362e+08
113,68688166,93133270,77478308,73282148,2.588e+08,2.766e+08
114,23041847,1.288e+08,2.393e+08,75037957,1.574e+09,1.716e+09
211,2.368e+09,2.360e+09,1.128e+09,1.249e+09,1.087e+08,47816733
212,4.884e+08,1.513e+09,1.332e+09,1.878e+09,1.663e+09,1.457e+09
311,6.648e+08,2.769e+09,2.248e+09,3.425e+09,1.085e+10,1.061e+10
312,30122817,56635840,51633688,81975693,1.624e+08,2.081e+08
313,7.819e+08,2.325e+09,1.839e+09,2.269e+09,6.631e+09,6.931e+09
314,7.320e+08,3.141e+09,3.288e+09,4.944e+09,1.548e+10,1.675e+10
315,3.151e+09,1.654e+10,1.508e+10,2.303e+10,6.385e+10,6.207e+10
316,5.913e+08,4.920e+09,3.794e+09,5.403e+09,2.167e+10,2.022e+10
321,2.900e+08,1.449e+09,1.173e+09,1.626e+09,5.177e+09,5.521e+09
322,71108155,1.993e+08,1.833e+08,4.179e+08,4.634e+09,5.178e+09
323,18310929,2.332e+08,2.767e+08,4.430e+08,2.258e+09,2.340e+09
324,3.849e+08,2.662e+08,1.291e+08,6.772e+08,1.398e+09,1.264e+09
325,9.324e+08,3.338e+09,3.197e+09,4.221e+09,3.696e+10,3.703e+10
326,93393528,1.494e+09,1.660e+09,2.654e+09,1.650e+10,1.724e+10
327,3.533e+08,2.018e+09,1.775e+09,2.518e+09,1.308e+10,1.312e+10
331,7.877e+08,4.155e+09,2.813e+09,4.218e+09,2.044e+10,2.506e+10
332,1.965e+08,2.257e+09,2.400e+09,3.810e+09,2.909e+10,3.061e+10
333,2.262e+08,2.441e+09,2.716e+09,4.323e+09,4.127e+10,4.214e+10
334,8.436e+08,9.583e+09,1.019e+10,2.126e+10,1.742e+11,1.885e+11
335,4.048e+08,5.419e+09,5.752e+09,1.048e+10,5.148e+10,5.292e+10
336,53970916,1.025e+09,1.178e+09,1.892e+09,2.209e+10,2.191e+10
337,46620687,5.826e+08,5.560e+08,1.312e+09,1.163e+10,1.273e+10
339,8.015e+08,6.625e+09,6.609e+09,1.032e+10,3.766e+10,3.874e+10
910,49877063,1.705e+08,1.457e+08,1.907e+08,5.296e+08,7.743e+08
930,81074000,94648932,58505996,64473063,3.806e+08,3.496e+08
990,81504687,2.624e+08,2.196e+08,5.210e+08,2.778e+09,2.836e+09
,1.575e+09,5.355e+09,5.068e+09,6.433e+09,6.224e+09,6.133e+09
