naics3,naics3_title,cn_imp1997,cn_imp1998,cn_imp1999,cn_imp2000,cn_imp2001,cn_imp2002,cn_imp2003,cn_imp2004,cn_imp2005,cn_imp2006,cn_imp2007,cn_imp2008,cn_imp2009,cn_imp2010,cn_imp2011,cn_imp2012,cn_imp2013,cn_imp2014,cn_imp2015
334,"Computer and Electronic Product Manufacturing",11727,14757,18413,24556,24304,33180,43589,63906,79500,95775,108485,110991,104676,135851,149191,161780,165600,175030,173867
339,"Miscellaneous Manufacturing",12293,13850,15065,16929,17274,20425,22912,25076,28095,30974,37180,38609,33727,37413,36298,36537,36533,38002,40453
335,"Electrical Equipment, Appliance, and Component Manufacturing",4898,5593,6967,8519,8997,10498,11822,14735,17196,20071,21255,22156,19233,24990,27801,29325,32261,34102,36649
315,"Apparel Manufacturing",7279,6986,7185,8307,8597,9250,10997,13106,19298,22405,26349,26153,26142,30893,32417,32005,32718,32849,33355
333,"Machinery Manufacturing",2781,3273,3696,4527,4518,5575,8315,11169,14725,17175,18692,17569,14683,17794,21359,24256,24953,28467,29828
316,"Leather and Allied Product Manufacturing",9270,9957,10414,11435,12012,13037,13790,15442,17366,19033,19848,20431,18432,22082,23647,24414,24445,24495,24709
332,"Fabricated Metal Product Manufacturing",1820,2243,2794,3476,3862,4867,5802,7540,9446,11812,13357,14838,11405,14089,16543,18156,18398,19923,20969
337,"Furniture and Related Product Manufacturing",1596,2255,3298,4383,4942,6813,8504,10440,12543,14406,15295,14520,12070,14642,14997,16156,17202,18193,20150
336,"Transportation Equipment Manufacturing",724,963,1245,2207,1816,2261,2886,4145,5239,6556,7650,8066,6505,9145,10765,12134,13175,15311,17114
326,"Plastics and Rubber Products Manufacturing",1647,1751,2138,2515,2707,3397,3967,5028,6627,7875,9290,10011,8865,10403,11874,13674,14860,15933,15101
325,"Chemical Manufacturing",1159,1311,1500,1594,1810,2109,2622,3381,4641,5368,6240,9697,7668,9551,12600,12745,13027,14182,13943
314,"Textile Product Mills",1129,1269,1488,1750,1854,2441,3336,4413,5690,6572,7327,7297,6611,8205,8768,8924,9429,9801,10579
327,"Nonmetallic Mineral Product Manufacturing",1401,1668,1900,2342,2493,2826,3007,3419,4099,4969,5114,5097,3940,5198,5993,6224,6336,6979,7389
990,"#N/A",374,558,728,991,1010,1187,1518,1988,2439,2879,3912,4252,3513,3592,3904,4182,4399,4820,5722
331,"Primary Metal Manufacturing",645,868,821,1119,794,834,974,3050,3987,6699,7158,10601,3845,3570,4225,4141,4187,5778,5250
321,"Wood Product Manufacturing",453,567,673,823,890,1096,1284,1822,2315,2992,3070,2834,2259,2693,2812,3185,3333,3717,3999
322,"Paper Manufacturing",326,403,473,618,706,881,1153,1360,1733,2274,2597,2813,2450,2728,2933,3263,3370,3670,3844
311,"Food Manufacturing",424,433,500,515,591,744,1005,1280,1523,1887,2489,3000,2483,2852,3399,3842,3670,3578,3543
323,"Printing and Related Support Activities",339,418,520,678,730,924,1122,1414,1704,1867,2180,2295,2006,2280,2269,2378,2369,2325,2504
313,"Textile Mills",421,355,354,406,328,457,529,666,961,1105,1212,1301,1044,1383,1708,1899,2070,2169,2307
114,"Fishing, Hunting and Trapping",308,309,367,530,568,771,1012,1068,1236,1690,1726,1855,1731,1995,2220,2118,2136,2306,2059
980,"#N/A",202,269,295,312,367,380,478,598,714,809,991,993,1020,1119,1196,1635,1791,1972,1935
111,"Crop Production",101,114,140,110,107,143,168,224,261,303,360,399,381,468,485,635,674,629,672
920,"#N/A",131,150,163,176,171,177,173,177,284,289,387,357,185,254,303,352,339,330,400
324,"Petroleum and Coal Products Manufacturing",134,148,149,373,237,190,284,228,326,382,318,393,211,276,238,203,293,329,320
113,"Forestry and Logging",55,74,56,51,48,51,59,67,76,92,103,105,105,121,158,168,204,175,237
212,"Mining (except Oil and Gas)",150,125,90,140,161,128,142,187,237,272,273,307,107,169,197,221,163,167,182
910,"#N/A",18,17,26,24,23,28,28,41,53,134,71,92,75,90,105,140,124,146,111
312,"Beverage and Tobacco Product Manufacturing",10,10,11,14,30,33,26,32,23,24,32,30,25,27,31,51,50,54,49
112,"Animal Production and Aquaculture",41,30,32,35,26,23,45,47,49,58,49,52,33,37,39,25,29,43,30
511,"Publishing Industries (except Internet)",1,2,2,2,6,4,5,4,8,10,6,2,6,4,4,3,3,4,4
211,"Oil and Gas Extraction",138,87,19,124,89,65,67,104,242,292,74,387,109,127,35,81,52,1,1
